latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunrise (iso8601),sunset (iso8601)
2022-01-01,12.1,10.2,2022-01-01T07:17,2022-01-01T15:02
2022-01-02,12.0,8.4,2022-01-02T07:16,2022-01-02T15:03
2022-01-03,10.0,8.0,2022-01-03T07:16,2022-01-03T15:04
2022-01-04,8.0,4.6,2022-01-04T07:16,2022-01-04T15:05
2022-01-05,5.5,2.8,2022-01-05T07:16,2022-01-05T15:07
2022-01-06,3.9,-0.1,2022-01-06T07:15,2022-01-06T15:08
2022-01-07,3.3,0.1,2022-01-07T07:15,2022-01-07T15:09
2022-01-08,3.3,0.0,2022-01-08T07:14,2022-01-08T15:11
2022-01-09,3.3,0.1,2022-01-09T07:14,2022-01-09T15:12
2022-01-10,4.3,-0.2,2022-01-10T07:13,2022-01-10T15:13
2022-01-11,0.6,-1.3,2022-01-11T07:12,2022-01-11T15:15
2022-01-12,2.5,-1.0,2022-01-12T07:12,2022-01-12T15:16
2022-01-13,6.1,1.9,2022-01-13T07:11,2022-01-13T15:18
2022-01-14,6.7,2.5,2022-01-14T07:10,2022-01-14T15:20
2022-01-15,3.6,0.3,2022-01-15T07:09,2022-01-15T15:21
2022-01-16,5.1,0.3,2022-01-16T07:08,2022-01-16T15:23
2022-01-17,7.2,1.0,2022-01-17T07:07,2022-01-17T15:25
2022-01-18,5.0,0.0,2022-01-18T07:06,2022-01-18T15:26
2022-01-19,5.0,1.5,2022-01-19T07:05,2022-01-19T15:28
2022-01-20,4.6,-0.6,2022-01-20T07:04,2022-01-20T15:30
2022-01-21,3.0,-1.6,2022-01-21T07:03,2022-01-21T15:31
2022-01-22,3.6,0.5,2022-01-22T07:02,2022-01-22T15:33
2022-01-23,5.2,2.3,2022-01-23T07:00,2022-01-23T15:35
2022-01-24,5.3,4.2,2022-01-24T06:59,2022-01-24T15:37
2022-01-25,4.3,3.4,2022-01-25T06:58,2022-01-25T15:38
2022-01-26,3.4,2.5,2022-01-26T06:56,2022-01-26T15:40
2022-01-27,6.3,2.9,2022-01-27T06:55,2022-01-27T15:42
2022-01-28,6.0,2.7,2022-01-28T06:54,2022-01-28T15:44
2022-01-29,9.8,3.2,2022-01-29T06:52,2022-01-29T15:46
2022-01-30,6.8,2.9,2022-01-30T06:51,2022-01-30T15:48
2022-01-31,3.3,0.6,2022-01-31T06:49,2022-01-31T15:49
2022-02-01,6.5,0.9,2022-02-01T06:47,2022-02-01T15:51
2022-02-02,6.1,1.7,2022-02-02T06:46,2022-02-02T15:53
2022-02-03,5.9,1.1,2022-02-03T06:44,2022-02-03T15:55
2022-02-04,7.2,2.9,2022-02-04T06:42,2022-02-04T15:57
2022-02-05,6.4,2.9,2022-02-05T06:41,2022-02-05T15:59
2022-02-06,6.5,3.6,2022-02-06T06:39,2022-02-06T16:01
2022-02-07,5.9,2.3,2022-02-07T06:37,2022-02-07T16:03
2022-02-08,8.5,2.9,2022-02-08T06:35,2022-02-08T16:05
